user_id	title
8930	Jumanji: Welcome to the Jungle
8930	Grumpy Old Men
8930	Father of the Bride Part II
8930	Heat
8930	Balto
8930	Get Shorty
8930	Now and Then
8930	Clueless
8930	Shichinin no samurai
8930	Pocahontas
8930	Mr. Holland's Opus
8930	Les Misérables
8930	Braveheart
8930	The Birdcage
8930	Apollo 13
8930	Batman Forever
8930	Die Hard: With a Vengeance
8930	Ed Wood
8930	Gumby: The Movie
8930	Star Wars
8930	Pulp Fiction
8930	Tales from the Crypt: Demon Knight
8930	What's Eating Gilbert Grape
8930	Forrest Gump
8930	The Lion King
8930	True Lies
8930	Wolf
8930	Addams Family Values
8930	Demolition Man
8930	Jurassic Park
8930	Mrs. Doubtfire
8930	The Puppet Masters
8930	Robin Hood: Men in Tights
8930	The Secret Garden
8930	The Nightmare Before Christmas
8930	The Pagemaster
8930	Home Alone
8930	Terminator 2: Judgment Day
8930	Dances with Wolves
8930	Batman
8930	The Silence of the Lambs
8930	Snow White and the Seven Dwarfs
8930	Beauty and the Beast
8930	Candyman: Farewell to the Flesh
8930	Heavy Metal
8930	James and the Giant Peach
8930	Oliver & Company
8930	The Rock
8930	Dellamorte Dellamore
8930	Harriet the Spy
1510	The Godfather
1510	The Shawshank Redemption
1510	The Dark Knight
1510	Pulp Fiction
1510	The Lord of the Rings: The Return of the King
1510	The Departed
1510	Inception
1510	Forrest Gump
1510	Fight Club
1510	The Matrix
1510	The Silence of the Lambs
1510	Se7en
1510	Goodfellas
1510	The Prestige
1510	The Green Mile
1510	American Beauty
1510	Gladiator
1510	The Pianist
1510	The Social Network
1510	Schindler's List
1510	The Revenant
1510	Whiplash
1510	The Imitation Game
1510	The King's Speech
1510	Life of Pi
1510	The Curious Case of Benjamin Button
1510	Silver Linings Playbook
1510	12 Years a Slave
1510	Spotlight
1510	La La Land
1510	Moonlight
1510	Birdman
1510	The Grand Budapest Hotel
1510	Lost in Translation
1510	Eternal Sunshine of the Spotless Mind
1510	The Big Lebowski
1510	The Wolf of Wall Street
1510	The Hunger Games
1510	The Maze Runner
1510	The Bourne Identity
1510	Casino Royale
1510	Skyfall
1510	Quantum of Solace
